inst_id,state,settle_ccy,quote_ccy,list_time_iso,list_time_ms,ct_val,min_sz,lot_sz,tick_sz,lever_max,last_price,vol_24h_usdt,best_bid,best_ask,spread_bps,notional_min_per_lot,notional_max_at_lever,loss_per_lot_at_stop_5pct,acceptable_loss_usd,max_lots_at_risk_cap,can_open_at_lever_cap,can_open_with_risk_cap,can_open_position,can_place_hard_stop,can_post_only_fill,tickSz_pct_of_price
SPY-USDT-SWAP,live,USDT,USDT,2026-03-04T09:00:00+00:00,1772614800000,1.0,0.01,0.01,0.01,20.0,733.33,3363359.38,733.38,733.39,0.1363540296023358,7.3333,140.0,0.366665,2.1,5,True,True,True,True,True,1.3636425620116455e-05
COIN-USDT-SWAP,live,USDT,USDT,2026-02-26T07:45:00+00:00,1772091900000,1.0,0.01,0.01,0.01,20.0,143.23,3263718.99,143.21,143.26,3.4907669214914607,1.4323,140.0,0.071615,2.1,29,True,True,True,True,True,6.981777560566921e-05
BASED-USDT-SWAP,live,USDT,USDT,2026-03-30T10:30:00+00:00,1774866600000,10.0,1.0,1.0,1e-05,50.0,0.07184,30834457.89,0.07186,0.07189,4.173913043478574,0.7184,350.0,0.03592,2.1,58,True,True,True,True,True,0.00013919821826280626
WEN-USDT-SWAP,live,USDT,USDT,2026-06-25T10:30:00+00:00,1782383400000,1.0,1.0,1.0,0.01,10.0,7.46,2969012.86,7.42,7.44,26.91790040376913,7.46,70.0,0.373,2.1,5,True,True,True,True,False,0.0013404825737265416
AXTI-USDT-SWAP,live,USDT,USDT,2026-06-16T09:30:00+00:00,1781602200000,1.0,0.01,0.01,0.01,20.0,68.69,2631658.15,68.39,68.44,7.30833881458703,0.6869,140.0,0.034345,2.1,61,True,True,True,True,False,0.00014558159848595138
DELL-USDT-SWAP,live,USDT,USDT,2026-05-28T09:15:00+00:00,1779959700000,1.0,0.01,0.01,0.01,20.0,407.52,2525091.72,407.41,407.5,2.2088328772496344,4.0752,140.0,0.20376,2.1,10,True,True,True,True,True,2.4538672948566942e-05
ARX-USDT-SWAP,live,USDT,USDT,2026-06-22T12:30:00+00:00,1782131400000,10.0,1.0,1.0,0.0001,20.0,0.25,23102612.5,0.2503,0.2504,3.9944078290389045,2.5,140.0,0.125,2.1,16,True,True,True,True,True,0.0004
AVGO-USDT-SWAP,live,USDT,USDT,2026-04-29T06:00:00+00:00,1777442400000,1.0,0.01,0.01,0.01,20.0,379.07,2294279.48,379.17,379.2,0.7911705368084896,3.7907,140.0,0.189535,2.1,11,True,True,True,True,True,2.638035191389453e-05
ENA-USDT-SWAP,live,USDT,USDT,2025-09-17T07:30:00.364000+00:00,1758094200364,10.0,1.0,1.0,1e-05,50.0,0.0814,21607590.93,0.08145,0.08146,1.2276717205831442,0.8140000000000001,350.0,0.04070000000000001,2.1,51,True,True,True,True,True,0.00012285012285012285
SPX-USDT-SWAP,live,USDT,USDT,2025-07-17T05:00:00.453000+00:00,1752728400453,1.0,1.0,1.0,0.0001,20.0,0.3246,2062937.2,0.3242,0.3243,3.0840400925208633,0.3246,140.0,0.01623,2.1,129,True,True,True,True,True,0.00030807147258163895
CRWV-USDT-SWAP,live,USDT,USDT,2026-04-10T12:00:00+00:00,1775822400000,1.0,0.01,0.01,0.01,20.0,98.92,1959980.11,98.81,98.85,4.047354042294044,0.9892000000000001,140.0,0.049460000000000004,2.1,42,True,True,True,True,True,0.00010109179134654265
H-USDT-SWAP,live,USDT,USDT,2025-07-03T06:00:00.413000+00:00,1751522400413,100.0,0.1,0.1,1e-05,10.0,0.0589,178718143.12,0.05847,0.05848,1.7101325352708205,0.589,70.0,0.02945,2.1,71,True,True,True,True,True,0.00016977928692699492
