entry_ts,exit_ts,side,entry_price,exit_price,target_price,stop_price,exit_reason,pnl_R,pnl_pct_equity,equity_after,bars_held,symbol
2026-06-21 18:06:00+00:00,2026-06-21 18:18:00+00:00,SHORT,63973.2,63996.0,63013.602,64165.1196,TIME,-0.652264,-13.0453,0.582758,12,BTCUSDT
2026-06-22 08:00:00+00:00,2026-06-22 08:12:00+00:00,SHORT,64150.1,64212.9,63187.8485,64342.5503,TIME,-0.859907,-17.1981,0.482535,12,BTCUSDT
2026-06-22 08:42:00+00:00,2026-06-22 08:54:00+00:00,SHORT,64147.7,64103.6,63185.4845,64340.1431,TIME,-0.304097,-6.0819,0.453187,12,BTCUSDT
2026-06-22 09:24:00+00:00,2026-06-22 09:36:00+00:00,SHORT,64108.3,64072.4,63146.6755,64300.6249,TIME,-0.346618,-6.9324,0.421771,12,BTCUSDT
2026-06-22 10:06:00+00:00,2026-06-22 10:18:00+00:00,SHORT,64209.4,64167.8,63246.259,64402.0282,TIME,-0.317304,-6.3461,0.395005,12,BTCUSDT
2026-06-23 16:00:00+00:00,2026-06-23 16:12:00+00:00,LONG,62486.1,62800.1,63423.3915,62298.6417,TIME,1.140761,22.8152,0.485126,12,BTCUSDT
2026-06-23 16:13:00+00:00,2026-06-23 16:25:00+00:00,SHORT,62686.9,62577.0,61746.5965,62874.9607,TIME,0.051343,1.0269,0.490108,12,BTCUSDT
2026-06-23 16:26:00+00:00,2026-06-23 16:38:00+00:00,LONG,62563.2,62562.8,63501.648,62375.5104,TIME,-0.535403,-10.7081,0.437627,12,BTCUSDT
2026-06-23 16:39:00+00:00,2026-06-23 16:51:00+00:00,LONG,62575.4,62509.9,63514.031,62387.6738,TIME,-0.881976,-17.6395,0.360431,12,BTCUSDT
2026-06-23 17:21:00+00:00,2026-06-23 17:33:00+00:00,LONG,62594.4,62541.2,63533.316,62406.6168,TIME,-0.816409,-16.3282,0.301579,12,BTCUSDT
2026-06-23 18:03:00+00:00,2026-06-23 18:15:00+00:00,SHORT,62389.8,62330.8,61453.953,62576.9694,TIME,-0.217982,-4.3596,0.288432,12,BTCUSDT
2026-06-24 08:00:00+00:00,2026-06-24 08:12:00+00:00,SHORT,62610.9,62592.7,61671.7365,62798.7327,TIME,-0.43644,-8.7288,0.263255,12,BTCUSDT
2026-06-24 08:42:00+00:00,2026-06-24 08:54:00+00:00,SHORT,62717.7,62771.3,61776.9345,62905.8531,TIME,-0.818439,-16.3688,0.220163,12,BTCUSDT
2026-06-24 09:24:00+00:00,2026-06-24 09:36:00+00:00,SHORT,62684.1,62636.3,61743.8385,62872.1523,TIME,-0.279056,-5.5811,0.207876,12,BTCUSDT
2026-06-24 16:00:00+00:00,2026-06-24 16:10:00+00:00,SHORT,60295.5,60476.3865,59391.0675,60476.3865,SL,-1.533994,-30.6799,0.1441,10,BTCUSDT
