strategy_name,symbol,entry_ts,exit_ts,side,entry_price,exit_price,target_price,stop_price,exit_reason,pnl_R,price_pnl_R,fee_slippage_R,funding_pnl_R,equity_after,bars_held
weekend_wick,XRPUSDT,2026-06-14 23:00:00+00:00,2026-06-14 23:01:00+00:00,SHORT,1.1852,1.1732,1.1732,1.197052,TP,0.853077,0.953077,0.16,0.0,57.328643,0
weekend_wick,XRPUSDT,2026-06-21 21:00:00+00:00,2026-06-21 21:02:00+00:00,LONG,1.1342,1.1381,1.1388,1.122858,TIME,0.183666,0.283666,0.16,0.0,58.908045,0
weekend_wick,XRPUSDT,2026-06-21 22:00:00+00:00,2026-06-21 22:02:00+00:00,LONG,1.1312,1.1342,1.1342,1.119888,TP,0.105064,0.205064,0.16,0.0,59.836413,0
weekend_wick,XRPUSDT,2026-06-21 23:00:00+00:00,2026-06-21 23:02:00+00:00,LONG,1.1243,1.1279,1.1312,1.113057,TIME,0.160025,0.260025,0.16,0.0,61.272712,0
weekend_wick,ADAUSDT,2026-05-23 20:00:00+00:00,2026-05-23 20:01:00+00:00,SHORT,0.2498,0.244,0.244,0.252298,TP,2.163233,2.263233,0.16,0.0,9.271395,0
weekend_wick,ADAUSDT,2026-05-24 21:00:00+00:00,2026-05-24 21:01:00+00:00,LONG,0.2391,0.2417,0.2417,0.236709,TP,0.926777,1.026777,0.16,0.0,10.560272,0
weekend_wick,ADAUSDT,2026-05-30 01:00:00+00:00,2026-05-30 01:01:00+00:00,SHORT,0.2375,0.2349,0.2349,0.239875,TP,0.935376,1.035376,0.16,0.0,12.041945,0
weekend_wick,ADAUSDT,2026-05-30 02:00:00+00:00,2026-05-30 02:02:00+00:00,SHORT,0.2384,0.238,0.2375,0.240784,TIME,0.007868,0.107868,0.16,0.0,12.056157,0
weekend_wick,ADAUSDT,2026-05-31 14:00:00+00:00,2026-05-31 14:02:00+00:00,LONG,0.2339,0.2361,0.2367,0.231561,TIME,0.780027,0.880027,0.16,0.0,13.466776,0
weekend_wick,ADAUSDT,2026-05-31 15:00:00+00:00,2026-05-31 15:01:00+00:00,LONG,0.2337,0.2339,0.2339,0.231363,TP,-0.074454,0.025546,0.16,0.0,13.316378,0
weekend_wick,ADAUSDT,2026-05-31 16:00:00+00:00,2026-05-31 16:01:00+00:00,LONG,0.2328,0.2337,0.2337,0.230472,TP,0.226384,0.326384,0.16,0.0,13.768571,0
weekend_wick,ADAUSDT,2026-06-06 04:00:00+00:00,2026-06-06 04:01:00+00:00,LONG,0.1498,0.155,0.155,0.14795,TP,2.679583,2.760556,0.129557,0.0,19.302674,0
weekend_wick,ADAUSDT,2026-06-14 12:00:00+00:00,2026-06-14 12:01:00+00:00,LONG,0.1681,0.1696,0.1696,0.166419,TP,0.731809,0.831809,0.16,0.0,21.421554,0
weekend_wick,ADAUSDT,2026-06-14 14:00:00+00:00,2026-06-14 14:01:00+00:00,LONG,0.1668,0.1675,0.1675,0.165132,TP,0.259431,0.359431,0.16,0.0,22.255165,0
weekend_wick,ADAUSDT,2026-06-14 23:00:00+00:00,2026-06-14 23:01:00+00:00,SHORT,0.1829,0.175,0.175,0.1854,TP,3.044827,3.117987,0.117056,0.0,32.419635,0
weekend_wick,ADAUSDT,2026-06-21 23:00:00+00:00,2026-06-21 23:02:00+00:00,LONG,0.1564,0.1584,0.1589,0.154836,TIME,1.118023,1.218023,0.16,0.0,37.856522,0
weekend_wick,POLUSDT,2026-05-23 07:00:00+00:00,2026-05-23 07:01:00+00:00,LONG,0.08822,0.09034,0.09034,0.0873378,TP,2.24166,2.34166,0.16,0.0,9.353743,0
weekend_wick,POLUSDT,2026-05-23 08:00:00+00:00,2026-05-23 08:02:00+00:00,LONG,0.08797,0.08776,0.08822,0.0870903,TIME,-0.398557,-0.298557,0.16,0.0,8.794543,0
weekend_wick,POLUSDT,2026-05-24 21:00:00+00:00,2026-05-24 21:01:00+00:00,LONG,0.08911,0.09008,0.09008,0.0882189,TP,0.927907,1.027907,0.16,0.0,10.018622,0
weekend_wick,POLUSDT,2026-05-30 00:00:00+00:00,2026-05-30 00:01:00+00:00,SHORT,0.09074,0.08988,0.08988,0.0916474,TP,0.788314,0.888314,0.16,0.0,11.203294,0
weekend_wick,POLUSDT,2026-05-30 01:00:00+00:00,2026-05-30 01:02:00+00:00,SHORT,0.09124,0.09132,0.09074,0.0921524,TIME,-0.247751,-0.147751,0.16,0.0,10.786949,0
weekend_wick,POLUSDT,2026-05-30 22:00:00+00:00,2026-05-30 22:02:00+00:00,LONG,0.08975,0.09018,0.09037,0.0888525,TIME,0.318839,0.418839,0.16,0.0,11.302845,0
weekend_wick,POLUSDT,2026-05-31 20:00:00+00:00,2026-05-31 20:02:00+00:00,SHORT,0.09183,0.09207,0.09149,0.0927483,TIME,-0.421527,-0.321527,0.16,0.0,10.588176,0
weekend_wick,POLUSDT,2026-05-31 21:00:00+00:00,2026-05-31 21:02:00+00:00,SHORT,0.09292,0.09199,0.09183,0.0938492,TIME,0.841444,0.941444,0.16,0.0,11.924579,0
weekend_wick,POLUSDT,2026-05-31 22:00:00+00:00,2026-05-31 22:01:00+00:00,LONG,0.0929,0.09292,0.09292,0.091971,TP,-0.138466,-0.038466,0.16,0.0,11.676906,0
weekend_wick,POLUSDT,2026-06-07 01:00:00+00:00,2026-06-07 01:01:00+00:00,SHORT,0.07989,0.07778,0.07778,0.0806889,TP,2.482699,2.582699,0.16,0.0,16.025442,0
weekend_wick,POLUSDT,2026-06-14 21:00:00+00:00,2026-06-14 21:02:00+00:00,SHORT,0.07677,0.07508,0.07501,0.0775377,TIME,2.042684,2.142684,0.16,0.0,20.935679,0
weekend_wick,POLUSDT,2026-06-14 22:00:00+00:00,2026-06-14 22:01:00+00:00,LONG,0.07673,0.07677,0.07677,0.0759627,TP,-0.107882,-0.007882,0.16,0.0,20.59689,0
weekend_wick,POLUSDT,2026-06-21 18:00:00+00:00,2026-06-21 18:01:00+00:00,SHORT,0.08134,0.08078,0.08078,0.0821534,TP,0.528863,0.628863,0.16,0.0,22.230831,0
weekend_wick,POLUSDT,2026-06-21 19:00:00+00:00,2026-06-21 19:01:00+00:00,SHORT,0.08159,0.08134,0.08134,0.0824059,TP,0.146576,0.246576,0.16,0.0,22.719607,0
weekend_wick,ARBUSDT,2026-05-17 06:00:00+00:00,2026-05-17 06:02:00+00:00,SHORT,0.122,0.1211,0.1208,0.12322,TIME,0.57813,0.67813,0.16,0.0,7.607036,0
weekend_wick,ARBUSDT,2026-05-23 07:00:00+00:00,2026-05-23 07:01:00+00:00,LONG,0.1041,0.108,0.108,0.102775,TP,2.815939,2.894505,0.125706,0.0,10.820179,0
weekend_wick,ARBUSDT,2026-05-31 07:00:00+00:00,2026-05-31 07:02:00+00:00,LONG,0.1028,0.1034,0.1036,0.101772,TIME,0.423325,0.523325,0.16,0.0,11.507247,0
weekend_wick,ARBUSDT,2026-05-31 14:00:00+00:00,2026-05-31 14:02:00+00:00,LONG,0.1012,0.102,0.1025,0.100188,TIME,0.630058,0.730058,0.16,0.0,12.594782,0
weekend_wick,ARBUSDT,2026-06-06 00:00:00+00:00,2026-06-06 00:02:00+00:00,LONG,0.0807,0.0806,0.0893,0.079893,TIME,-0.283823,-0.183823,0.16,0.0,12.058578,0
weekend_wick,ARBUSDT,2026-06-06 01:00:00+00:00,2026-06-06 01:01:00+00:00,LONG,0.0801,0.0807,0.0807,0.079299,TP,0.588632,0.688632,0.16,0.0,13.123288,0
