entry_ts,exit_ts,side,entry_price,exit_price,target_price,stop_price,exit_reason,pnl_R,pnl_pct_equity,equity_after,bars_held,symbol
2026-05-26 17:44:00+00:00,2026-05-26 17:46:00+00:00,SHORT,344.39,344.47,334.0583,348.52268,TIME,-0.152718,-3.0544,6.576001,2.0,BCHUSDT
2026-05-19 14:25:00+00:00,2026-05-19 14:26:00+00:00,LONG,53.8,53.83424402,53.83424402,53.1544,TP,-0.080308,-1.6062,6.887569,1.0,LTCUSDT
2026-05-20 01:28:00+00:00,2026-05-20 01:29:00+00:00,LONG,53.61,53.12199884,53.12199884,52.96668,TP,-0.89143,-17.8286,5.659612,1.0,LTCUSDT
2026-05-21 11:30:00+00:00,2026-05-21 11:32:00+00:00,SHORT,53.55,53.46,53.03245435,54.1926,TIME,0.006792,0.1358,5.667299,2.0,LTCUSDT
2026-05-25 23:07:00+00:00,2026-05-25 23:09:00+00:00,SHORT,52.59,52.57,52.27438321,53.22108,TIME,-0.101638,-2.0328,5.552097,2.0,LTCUSDT
2026-05-27 22:21:00+00:00,2026-05-27 22:22:00+00:00,SHORT,52.08,52.33772331,52.33772331,52.70496,TP,-0.54598,-10.9196,4.945831,1.0,LTCUSDT
2026-05-31 02:32:00+00:00,2026-05-31 02:34:00+00:00,LONG,52.56,52.49,52.62796796,51.92928,TIME,-0.244236,-4.8847,4.704241,2.0,LTCUSDT
2026-05-31 03:37:00+00:00,2026-05-31 03:39:00+00:00,LONG,52.67,52.65,52.67312032,52.03796,TIME,-0.164943,-3.2989,4.549055,2.0,LTCUSDT
2026-05-31 04:20:00+00:00,2026-05-31 04:22:00+00:00,SHORT,52.68,52.68,52.48908168,53.31216,TIME,-0.133348,-2.667,4.427733,2.0,LTCUSDT
2026-05-31 08:01:00+00:00,2026-05-31 08:03:00+00:00,SHORT,52.35,52.36,50.7795,52.9782,TIME,-0.149276,-2.9855,4.295542,2.0,LTCUSDT
